,epoch,loss,accuracy,time
0,1,1.9459348917007446,0.15,9.677225
1,2,1.9457621574401855,0.14285714285714285,0.023304
2,3,1.945582389831543,0.15714285714285714,0.043781
3,4,1.9453458786010742,0.20714285714285716,0.041168
4,5,1.944974660873413,0.22857142857142856,0.042136
5,6,1.9445164203643799,0.2571428571428571,0.024849
6,7,1.9437994956970215,0.2785714285714286,0.046214
7,8,1.9429715871810913,0.2857142857142857,0.050182
8,9,1.9421489238739014,0.2642857142857143,0.048391
9,10,1.9402955770492554,0.37857142857142856,0.043287
10,11,1.9387577772140503,0.37857142857142856,0.034504
11,12,1.9363466501235962,0.45,0.03594
12,13,1.933159351348877,0.5071428571428571,0.041665
13,14,1.9296842813491821,0.4857142857142857,0.044749
14,15,1.924660563468933,0.5071428571428571,0.056841
15,16,1.9199105501174927,0.5285714285714286,0.040994
16,17,1.9132874011993408,0.55,0.037556
17,18,1.9007688760757446,0.5571428571428572,0.034139
18,19,1.890289306640625,0.5928571428571429,0.032672
19,20,1.8779672384262085,0.5214285714285715,0.044012
20,21,1.8605241775512695,0.5785714285714286,0.036915
21,22,1.839847445487976,0.5928571428571429,0.035656
22,23,1.8166390657424927,0.65,0.041924
23,24,1.789032220840454,0.6857142857142857,0.070975
24,25,1.7599595785140991,0.7071428571428572,0.056093
25,26,1.7207647562026978,0.7214285714285714,0.04968
26,27,1.6935087442398071,0.7142857142857143,0.028988
27,28,1.657723069190979,0.7285714285714285,0.044298
28,29,1.6237962245941162,0.7,0.037541
29,30,1.5808734893798828,0.7642857142857142,0.046843
30,31,1.5472999811172485,0.7857142857142857,0.032645
31,32,1.511164665222168,0.8,0.045686
32,33,1.4730238914489746,0.8642857142857143,0.039149
33,34,1.44105064868927,0.8714285714285714,0.033971
34,35,1.408578872680664,0.9428571428571428,0.044812
35,36,1.378150463104248,0.9357142857142857,0.057467
36,37,1.3525744676589966,0.9357142857142857,0.022033
37,38,1.3314521312713623,0.9428571428571428,0.034693
38,39,1.3172715902328491,0.95,0.040953
39,40,1.2964979410171509,0.9428571428571428,0.036793
40,41,1.2779744863510132,0.9285714285714286,0.031769
41,42,1.2630659341812134,0.9428571428571428,0.048862
42,43,1.2603105306625366,0.95,0.036415
43,44,1.2475907802581787,0.9571428571428572,0.039097
44,45,1.231076955795288,0.9642857142857143,0.045002
45,46,1.2254564762115479,0.9642857142857143,0.057424
46,47,1.2180944681167603,0.9642857142857143,0.040084
47,48,1.2235273122787476,0.95,0.054545
