,epoch,loss,accuracy,time
0,1,1.945891261100769,0.15714285714285714,6.9119
1,2,1.9454936981201172,0.2,0.687488
2,3,1.9451875686645508,0.17857142857142858,0.697649
3,4,1.9447191953659058,0.25,0.658738
4,5,1.9440486431121826,0.32142857142857145,0.669611
5,6,1.9435690641403198,0.35,0.665233
6,7,1.9428213834762573,0.34285714285714286,0.64269
7,8,1.9418123960494995,0.37857142857142856,0.683305
8,9,1.9407117366790771,0.40714285714285714,0.66856
9,10,1.9387503862380981,0.5,0.664237
10,11,1.9370496273040771,0.5642857142857143,0.635244
11,12,1.9350680112838745,0.6,0.676699
12,13,1.9316761493682861,0.6785714285714286,0.629542
13,14,1.927883505821228,0.7071428571428572,0.651433
14,15,1.9244245290756226,0.7428571428571429,0.633014
15,16,1.9181110858917236,0.7714285714285715,0.651459
16,17,1.910986304283142,0.7642857142857142,0.627374
17,18,1.9032143354415894,0.7785714285714286,0.660549
18,19,1.8912545442581177,0.8071428571428572,0.750715
19,20,1.8794879913330078,0.7785714285714286,0.746379
20,21,1.8668991327285767,0.8,0.989049
21,22,1.8481619358062744,0.7785714285714286,1.13812
22,23,1.8257817029953003,0.7857142857142857,0.916073
23,24,1.7974351644515991,0.8214285714285714,0.896565
24,25,1.7678492069244385,0.8285714285714286,0.878479
25,26,1.7390378713607788,0.8357142857142857,0.948578
26,27,1.6984258890151978,0.8357142857142857,0.932208
27,28,1.6638708114624023,0.8285714285714286,0.973606
28,29,1.615061640739441,0.8571428571428571,0.939508
29,30,1.5775543451309204,0.8714285714285714,0.984334
30,31,1.5340731143951416,0.8928571428571429,1.00449
31,32,1.4896806478500366,0.9142857142857143,0.93766
32,33,1.4524685144424438,0.8928571428571429,0.867788
33,34,1.4102141857147217,0.9571428571428572,0.923815
34,35,1.3670326471328735,0.9642857142857143,0.890024
35,36,1.3356462717056274,0.9571428571428572,0.810151
36,37,1.3140583038330078,0.95,0.884805
37,38,1.3076285123825073,0.9571428571428572,0.878723
38,39,1.2782282829284668,0.9642857142857143,0.876641
39,40,1.257734775543213,0.9571428571428572,0.949451
40,41,1.2333858013153076,0.9714285714285714,0.902471
41,42,1.2370513677597046,0.9642857142857143,0.859533
42,43,1.2319483757019043,0.9571428571428572,0.861244
43,44,1.221098780632019,0.9857142857142858,0.83565
44,45,1.2127641439437866,0.9714285714285714,0.985235
45,46,1.1977922916412354,0.9857142857142858,1.028329
46,47,1.1964105367660522,0.9857142857142858,1.062144
47,48,1.1911810636520386,0.9857142857142858,1.09546
48,49,1.1905778646469116,0.9857142857142858,0.828991
49,50,1.1915191411972046,0.9857142857142858,0.836154
50,51,1.1835721731185913,0.9928571428571429,1.015262
51,52,1.1837382316589355,0.9857142857142858,0.826957
52,53,1.1783941984176636,0.9928571428571429,0.783047
53,54,1.1777187585830688,0.9928571428571429,0.820942
54,55,1.1892955303192139,0.9785714285714285,0.847462
55,56,1.1781657934188843,1.0,0.687127
56,57,1.178402304649353,1.0,0.694103
57,58,1.1823115348815918,0.9857142857142858,0.847366
58,59,1.1765326261520386,0.9928571428571429,0.757443
59,60,1.170506477355957,1.0,0.716529
60,61,1.1763361692428589,0.9928571428571429,1.111015
61,62,1.17473566532135,0.9928571428571429,1.017636
62,63,1.1685960292816162,1.0,1.064677
63,64,1.1680240631103516,1.0,1.047348
64,65,1.1797575950622559,0.9857142857142858,0.905644
65,66,1.1740623712539673,0.9928571428571429,0.774507
66,67,1.17326819896698,0.9928571428571429,0.854968
67,68,1.1681442260742188,1.0,0.902125
68,69,1.1669483184814453,1.0,0.834091
69,70,1.1721829175949097,0.9928571428571429,1.049854
70,71,1.169600486755371,1.0,0.980474
71,72,1.1665376424789429,1.0,0.881147
72,73,1.171798586845398,0.9928571428571429,0.888063
73,74,1.1729182004928589,0.9928571428571429,0.920185
74,75,1.1667852401733398,1.0,0.841696
75,76,1.1674467325210571,1.0,0.893754
76,77,1.1675230264663696,1.0,1.029028
77,78,1.166693091392517,1.0,0.837705
78,79,1.1667163372039795,1.0,0.923516
79,80,1.1675654649734497,1.0,0.90213
80,81,1.1716021299362183,0.9928571428571429,0.897034
81,82,1.1679677963256836,1.0,0.855658
82,83,1.1661821603775024,1.0,1.090911
83,84,1.1689491271972656,1.0,0.918065
84,85,1.1665003299713135,1.0,0.891858
85,86,1.1665019989013672,1.0,0.865815
86,87,1.1664938926696777,1.0,0.901563
87,88,1.1663284301757812,1.0,1.032106
88,89,1.166635513305664,1.0,0.895679
89,90,1.166103482246399,1.0,0.905091
90,91,1.1660035848617554,1.0,0.903912
91,92,1.1662304401397705,1.0,0.828811
92,93,1.166095495223999,1.0,0.876643
93,94,1.1663535833358765,1.0,1.028746
94,95,1.167075753211975,1.0,0.905631
95,96,1.168023705482483,1.0,0.847304
96,97,1.1658400297164917,1.0,0.881262
97,98,1.1659669876098633,1.0,0.879731
98,99,1.1674097776412964,1.0,0.907116
99,100,1.1662198305130005,1.0,0.862642
100,101,1.16584050655365,1.0,0.90495
101,102,1.1660096645355225,1.0,0.88691
102,103,1.166122317314148,1.0,1.147234
103,104,1.166005253791809,1.0,0.826666
104,105,1.1672847270965576,1.0,0.88315
105,106,1.1661311388015747,1.0,0.866128
106,107,1.1666345596313477,1.0,0.984275
107,108,1.165984869003296,1.0,0.923639
